"","Year","month","tair_day_livneh_vic","soilmoist1_day_livneh_vic","rainfall_day_livneh_vic","n","FIRE_SIZE","Budget"
"6",1992,"06",20.3487654443936,12.1692307846682,0.531415351460732,1202,8.82712146422629,"$85,591,000.00"
"7",1992,"07",22.3793004001938,12.9708476940407,0.284798836139777,966,11.1047619047619,"$85,591,000.00"
"8",1992,"08",23.3395460831874,12.0360919424256,0.438557483592382,1229,42.3982099267697,"$85,591,000.00"
"9",1992,"09",19.6655867905951,11.352458168626,0.137526504433281,522,54.1065134099617,"$85,591,000.00"
"10",1992,"10",16.352562252324,12.6887961826029,0.718245413844117,321,2.61526479750779,"$85,591,000.00"
"11",1992,"11",8.2301047003413,17.3876790477816,0.367407122640614,104,8.6375,"$85,591,000.00"
"12",1992,"12",3.66308736554455,19.9929716633663,2.09587995505668,29,0.848275862068966,"$85,591,000.00"
"13",1993,"01",3.79996875806452,21.2726016774194,0.880754894322581,9,3.83333333333333,"$65,679,000.00"
"14",1993,"02",6.33987291,21.58988585,2.2261501047,11,0.372727272727273,"$65,679,000.00"
"15",1993,"03",10.9408727347826,21.2441269855072,1.2128663604,19,0.294736842105263,"$65,679,000.00"
"16",1993,"04",13.5186826119403,17.2365874577114,0.570358247679602,69,8.50434782608696,"$65,679,000.00"
"17",1993,"05",16.7307789399199,14.8050837990654,0.949538988977116,241,35.1721991701245,"$65,679,000.00"
"18",1993,"06",19.9409424703177,13.8039351103679,0.202643163154515,382,69.6264397905759,"$65,679,000.00"
"19",1993,"07",20.8427085387366,11.2943127225864,0.062735003175152,594,8.04276094276094,"$65,679,000.00"
"20",1993,"08",21.439109453676,11.5377227549313,0.246022215659175,746,18.6804289544236,"$65,679,000.00"
"21",1993,"09",19.2196735300633,11.0815171348892,0.0389139171450593,403,4.77320099255583,"$65,679,000.00"
"22",1993,"10",15.349652856,12.66972828,0.400009974107413,324,146.360185185185,"$65,679,000.00"
"23",1993,"11",7.91249970789474,14.7710583299595,0.549533592113486,173,8.69364161849711,"$65,679,000.00"
"24",1993,"12",5.1123920472,17.794848848,1.2766155042776,46,8.09347826086957,"$65,679,000.00"
"25",1994,"01",6.9100569031746,16.6810838835979,0.956522209016296,66,2.39545454545455,"$69,858,000.00"
"26",1994,"02",5.83408062151899,19.483386443038,2.45954652506329,27,0.359259259259259,"$69,858,000.00"
"27",1994,"03",10.9531612505208,18.8667259635417,0.760736954026042,64,2.55625,"$69,858,000.00"
"28",1994,"04",13.5585760933735,16.0405326204819,0.47672193430366,85,23.1941176470588,"$69,858,000.00"
"29",1994,"05",16.6807081750405,16.3268404262561,0.794629267141005,237,8.10928270042194,"$69,858,000.00"
"30",1994,"06",20.9102895901526,12.5246819819695,0.0757228235041054,474,83.7018987341772,"$69,858,000.00"
"31",1994,"07",23.2265643547749,10.9539122716477,0.129430709720433,1018,74.5036345776031,"$69,858,000.00"
"32",1994,"08",23.0549276328747,10.7195058356264,0.0593309647752896,484,43.0683884297521,"$69,858,000.00"
"33",1994,"09",19.7307960183486,11.5271825252294,0.780120312110813,953,59.9264428121721,"$69,858,000.00"
"34",1994,"10",13.5203423618644,13.650208479661,0.407426207017966,213,11.3328638497653,"$69,858,000.00"
"35",1994,"11",5.00722920736842,17.6677323578947,1.77281554044211,65,3.23384615384615,"$69,858,000.00"
"36",1994,"12",4.23967934947368,18.4045848315789,0.963408564947368,41,0.917073170731707,"$69,858,000.00"
"37",1995,"01",5.91128754411765,24.5970792352941,7.22723329029412,14,0.164285714285714,"$60,400,000.00"
"38",1995,"02",10.4119509728814,21.3036898813559,0.385590286494915,19,0.347368421052632,"$60,400,000.00"
"39",1995,"03",9.30883984411765,22.7935491764706,8.49436056143823,6,0.283333333333333,"$60,400,000.00"
"40",1995,"04",11.403555368932,18.8635880097087,1.28661321788932,34,0.605882352941176,"$60,400,000.00"
"41",1995,"05",15.3970533015873,17.0872303428571,0.732186206982476,111,3.24414414414414,"$60,400,000.00"
"42",1995,"06",18.9168639637527,15.001406293177,0.526307635217484,375,27.2752,"$60,400,000.00"
"43",1995,"07",22.3225793683905,12.6275609189425,0.242745818281801,747,29.9764390896921,"$60,400,000.00"
"44",1995,"08",22.4301412281185,11.166346973122,0.0798920878941833,384,9.32057291666667,"$60,400,000.00"
"45",1995,"09",20.4940950925926,10.9516189476852,0.0889870316917222,360,16.9063888888889,"$60,400,000.00"
"46",1995,"10",15.0735405040692,11.0803032711088,0.0704454068468769,263,8.57148288973384,"$60,400,000.00"
"47",1995,"11",11.4100352286282,12.0618602385686,0.483991624570577,146,3.87739726027397,"$60,400,000.00"
"48",1995,"12",7.926236471875,17.24047386875,3.78471244868125,60,1.03,"$60,400,000.00"
"49",1996,"01",7.583870774375,18.52629398125,1.78366806898125,53,67.2962264150943,"$107,000,000.00"
"50",1996,"02",9.84919472045455,20.6891945,3.40243040086364,14,0.2,"$107,000,000.00"
"51",1996,"03",10.5254216606383,19.1174527340426,0.886369092668457,26,1.98461538461538,"$107,000,000.00"
"52",1996,"04",14.1732641567623,17.1120727807377,1.01569312915861,104,122.115384615385,"$107,000,000.00"
"53",1996,"05",16.1043503586592,15.6801656469274,1.04309930323044,241,17.6618257261411,"$107,000,000.00"
"54",1996,"06",20.0323100423977,12.7279178505117,0.182004251652573,387,46.5354005167959,"$107,000,000.00"
"55",1996,"07",23.7755409305234,11.7474814096804,0.197563668259796,1061,21.5278039585297,"$107,000,000.00"
"56",1996,"08",23.5374981057357,11.4016916895262,0.313541454916469,1109,105.977727682597,"$107,000,000.00"
"57",1996,"09",18.8816934067797,11.8998847740113,0.291314875461134,286,9.99440559440559,"$107,000,000.00"
"58",1996,"10",14.3342739087969,12.5677317981889,0.637500787510621,243,48.3991769547325,"$107,000,000.00"
"59",1996,"11",9.76212215859375,18.350673875,0.656060349715234,64,1.275,"$107,000,000.00"
"60",1996,"12",5.40474370869565,21.0731077391304,3.50041788034978,19,0.221052631578947,"$107,000,000.00"
"61",1997,"01",6.98109294186046,21.4797066511628,3.26710595216279,7,0.385714285714286,"$47,700,000.00"
"62",1997,"02",6.32303935620438,18.4563216569343,0.448086886928321,27,0.548148148148148,"$47,700,000.00"
"63",1997,"03",11.2721509534161,16.5197432981366,0.378434351788509,73,24.913698630137,"$47,700,000.00"
"64",1997,"04",11.8496874309441,14.973681263986,0.593390980387238,149,9.42885906040268,"$47,700,000.00"
"65",1997,"05",19.0072149469027,13.1705256314159,0.265815882624336,463,19.922030237581,"$47,700,000.00"
"66",1997,"06",19.1832453944295,13.8472500916442,0.578562199987062,420,6.8497619047619,"$47,700,000.00"
"67",1997,"07",21.7285306085746,12.1479392722717,0.344014720773853,896,9.06082589285714,"$47,700,000.00"
"68",1997,"08",22.8998168120567,11.8345792477837,0.209081626020833,431,148.454524361949,"$47,700,000.00"
"69",1997,"09",20.26444,14.0513993697297,0.924949800230649,377,14.6167108753316,"$47,700,000.00"
"70",1997,"10",13.6265677728175,14.5915020813492,0.579459932816706,149,294.914765100671,"$47,700,000.00"
"71",1997,"11",12.1689223016043,15.1154602245989,1.14485989959893,62,1.39838709677419,"$47,700,000.00"
"72",1997,"12",3.93008093972603,20.1727511506849,1.1636225768303,32,0.2375,"$47,700,000.00"
"73",1998,"01",5.90345333611111,21.6597148333333,3.72173648916667,18,0.344444444444444,"$43,800,000.00"
"74",1998,"02",5.75290185263158,24.3255761578947,5.81796348105263,6,0.166666666666667,"$43,800,000.00"
"75",1998,"03",9.17664403015873,22.0814075555556,3.92891310342063,15,0.386666666666667,"$43,800,000.00"
"76",1998,"04",12.6369332719008,18.6086841570248,0.468442125661901,43,0.381395348837209,"$43,800,000.00"
"77",1998,"05",13.3500811507937,18.6288740793651,1.68583707944048,86,1.07558139534884,"$43,800,000.00"
"78",1998,"06",18.355329011065,15.42294906639,0.416227131006086,219,2.02876712328767,"$43,800,000.00"
"79",1998,"07",22.938764929803,12.4192885018473,0.3541580162867,678,6.13480825958702,"$43,800,000.00"
"80",1998,"08",23.4404749936047,11.3838185555233,0.15103880999764,720,37.5969444444444,"$43,800,000.00"
"81",1998,"09",20.5365985024712,13.5615865152389,1.02104456887448,634,5.3307570977918,"$43,800,000.00"
"82",1998,"10",13.0597843722149,13.4225840183486,0.378247221837484,261,110.686206896552,"$43,800,000.00"
"83",1998,"11",8.69307741530612,17.3649155688775,2.96628139082653,77,3.82597402597403,"$43,800,000.00"
"84",1998,"12",4.39079502503759,18.5895536917293,0.576444861541353,45,7.42888888888889,"$43,800,000.00"
