time,rainfall_day_livneh_vic
1950-05-20 00:00:00+00:00,0.0
1950-05-21 00:00:00+00:00,0.00082846003
1950-05-22 00:00:00+00:00,0.005506823
1950-05-23 00:00:00+00:00,0.0075536063
1950-05-24 00:00:00+00:00,0.031018509
1950-05-25 00:00:00+00:00,0.041335233
1950-05-26 00:00:00+00:00,0.0
1950-05-27 00:00:00+00:00,0.0
1950-05-28 00:00:00+00:00,0.0
1950-05-29 00:00:00+00:00,0.00019493178
1950-05-30 00:00:00+00:00,0.0010721248
1950-05-31 00:00:00+00:00,0.00087719294
1950-06-01 00:00:00+00:00,0.00043859647
1950-06-02 00:00:00+00:00,0.0
1950-06-03 00:00:00+00:00,0.0
1950-06-04 00:00:00+00:00,0.00073099416
1950-06-05 00:00:00+00:00,0.21039283
1950-06-06 00:00:00+00:00,0.89287287
1950-06-07 00:00:00+00:00,0.4005816
1950-06-08 00:00:00+00:00,0.23957136
1950-06-09 00:00:00+00:00,0.56114995
1950-06-10 00:00:00+00:00,1.148894
1950-06-11 00:00:00+00:00,1.802461
1950-06-12 00:00:00+00:00,0.8672248
1950-06-13 00:00:00+00:00,0.31661686
1950-06-14 00:00:00+00:00,0.5819713
1950-06-15 00:00:00+00:00,1.2507062
1950-06-16 00:00:00+00:00,0.5317236
1950-06-17 00:00:00+00:00,0.18683787
1950-06-18 00:00:00+00:00,0.03953488
1950-06-19 00:00:00+00:00,0.036793374
1950-06-20 00:00:00+00:00,0.23050684
1950-06-21 00:00:00+00:00,0.15284105
1950-06-22 00:00:00+00:00,0.038914982
1950-06-23 00:00:00+00:00,0.5427946
1950-06-24 00:00:00+00:00,0.87735105
1950-06-25 00:00:00+00:00,0.0
1950-06-26 00:00:00+00:00,0.0
1950-06-27 00:00:00+00:00,0.0
1950-06-28 00:00:00+00:00,0.0
1950-06-29 00:00:00+00:00,0.0
1950-06-30 00:00:00+00:00,0.0
1950-07-01 00:00:00+00:00,0.0
1950-07-02 00:00:00+00:00,0.0011208578
1950-07-03 00:00:00+00:00,0.010916178
1950-07-04 00:00:00+00:00,0.15163596
1950-07-05 00:00:00+00:00,0.6312401
1950-07-06 00:00:00+00:00,1.3962697
1950-07-07 00:00:00+00:00,1.3924719
1950-07-08 00:00:00+00:00,0.8050667
1950-07-09 00:00:00+00:00,0.6945419
1950-07-10 00:00:00+00:00,0.80272114
1950-07-11 00:00:00+00:00,0.16968463
