time,tair_day_livneh_vic
1950-05-05 00:00:00+00:00,9.71815
1950-05-06 00:00:00+00:00,9.85297
1950-05-07 00:00:00+00:00,9.13952
1950-05-08 00:00:00+00:00,9.943426
1950-05-09 00:00:00+00:00,11.841466
1950-05-10 00:00:00+00:00,14.177852
1950-05-11 00:00:00+00:00,15.738386
1950-05-12 00:00:00+00:00,15.976397
1950-05-13 00:00:00+00:00,16.094454
1950-05-14 00:00:00+00:00,15.960021
1950-05-15 00:00:00+00:00,15.952261
1950-05-16 00:00:00+00:00,16.073553
1950-05-17 00:00:00+00:00,15.11229
1950-05-18 00:00:00+00:00,14.0427475
1950-05-19 00:00:00+00:00,15.009265
1950-05-20 00:00:00+00:00,16.735981
1950-05-21 00:00:00+00:00,18.18077
1950-05-22 00:00:00+00:00,18.0176
1950-05-23 00:00:00+00:00,16.943632
1950-05-24 00:00:00+00:00,16.22871
1950-05-25 00:00:00+00:00,16.791092
1950-05-26 00:00:00+00:00,17.839575
1950-05-27 00:00:00+00:00,18.500237
1950-05-28 00:00:00+00:00,18.258387
1950-05-29 00:00:00+00:00,19.215849
1950-05-30 00:00:00+00:00,20.463839
1950-05-31 00:00:00+00:00,20.674862
1950-06-01 00:00:00+00:00,20.701818
1950-06-02 00:00:00+00:00,20.078375
1950-06-03 00:00:00+00:00,18.870104
1950-06-04 00:00:00+00:00,19.146976
1950-06-05 00:00:00+00:00,19.322458
1950-06-06 00:00:00+00:00,16.720095
1950-06-07 00:00:00+00:00,12.232285
1950-06-08 00:00:00+00:00,13.684918
1950-06-09 00:00:00+00:00,15.903069
1950-06-10 00:00:00+00:00,17.034164
1950-06-11 00:00:00+00:00,16.122581
1950-06-12 00:00:00+00:00,15.377564
1950-06-13 00:00:00+00:00,15.885373
1950-06-14 00:00:00+00:00,16.22305
1950-06-15 00:00:00+00:00,16.971228
1950-06-16 00:00:00+00:00,16.890173
1950-06-17 00:00:00+00:00,17.153868
1950-06-18 00:00:00+00:00,18.574211
1950-06-19 00:00:00+00:00,20.011286
1950-06-20 00:00:00+00:00,20.779022
1950-06-21 00:00:00+00:00,20.067068
1950-06-22 00:00:00+00:00,18.90853
1950-06-23 00:00:00+00:00,18.005661
1950-06-24 00:00:00+00:00,16.157503
1950-06-25 00:00:00+00:00,17.20544
1950-06-26 00:00:00+00:00,18.777443
1950-06-27 00:00:00+00:00,20.75372
1950-06-28 00:00:00+00:00,22.361624
1950-06-29 00:00:00+00:00,24.272797
1950-06-30 00:00:00+00:00,25.15917
1950-07-01 00:00:00+00:00,24.90887
1950-07-02 00:00:00+00:00,24.579008
1950-07-03 00:00:00+00:00,24.159706
1950-07-04 00:00:00+00:00,23.65437
1950-07-05 00:00:00+00:00,22.669899
1950-07-06 00:00:00+00:00,21.32541
1950-07-07 00:00:00+00:00,20.875591
1950-07-08 00:00:00+00:00,21.040167
1950-07-09 00:00:00+00:00,21.219568
1950-07-10 00:00:00+00:00,20.666
1950-07-11 00:00:00+00:00,21.02415
1950-07-12 00:00:00+00:00,22.44427
1950-07-13 00:00:00+00:00,23.402767
1950-07-14 00:00:00+00:00,23.571234
1950-07-15 00:00:00+00:00,23.304087
1950-07-16 00:00:00+00:00,22.984295
1950-07-17 00:00:00+00:00,22.331524
1950-07-18 00:00:00+00:00,21.68747
1950-07-19 00:00:00+00:00,21.157402
1950-07-20 00:00:00+00:00,21.66078
1950-07-21 00:00:00+00:00,22.524164
1950-07-22 00:00:00+00:00,22.328434
