time,soilmoist1_day_livneh_vic
1950-05-07 00:00:00+00:00,15.597724
1950-05-08 00:00:00+00:00,15.415077
1950-05-09 00:00:00+00:00,15.215088
1950-05-10 00:00:00+00:00,15.06052
1950-05-11 00:00:00+00:00,14.841524
1950-05-12 00:00:00+00:00,14.651238
1950-05-13 00:00:00+00:00,14.445904
1950-05-14 00:00:00+00:00,14.246913
1950-05-15 00:00:00+00:00,14.050117
1950-05-16 00:00:00+00:00,13.878034
1950-05-17 00:00:00+00:00,13.719903
1950-05-18 00:00:00+00:00,13.559712
1950-05-19 00:00:00+00:00,13.4363575
1950-05-20 00:00:00+00:00,13.303892
1950-05-21 00:00:00+00:00,13.160697
1950-05-22 00:00:00+00:00,13.021146
1950-05-23 00:00:00+00:00,12.890722
1950-05-24 00:00:00+00:00,12.786249
1950-05-25 00:00:00+00:00,12.690664
1950-05-26 00:00:00+00:00,12.577493
1950-05-27 00:00:00+00:00,12.471798
1950-05-28 00:00:00+00:00,12.370063
1950-05-29 00:00:00+00:00,12.274492
1950-05-30 00:00:00+00:00,12.178264
1950-05-31 00:00:00+00:00,12.085594
1950-06-01 00:00:00+00:00,12.002029
1950-06-02 00:00:00+00:00,11.925051
1950-06-03 00:00:00+00:00,11.86081
1950-06-04 00:00:00+00:00,11.796847
1950-06-05 00:00:00+00:00,11.8482685
1950-06-06 00:00:00+00:00,12.101897
1950-06-07 00:00:00+00:00,12.147981
1950-06-08 00:00:00+00:00,12.222282
1950-06-09 00:00:00+00:00,12.386384
1950-06-10 00:00:00+00:00,12.752521
1950-06-11 00:00:00+00:00,13.256238
1950-06-12 00:00:00+00:00,13.3206415
1950-06-13 00:00:00+00:00,13.239201
1950-06-14 00:00:00+00:00,13.374189
1950-06-15 00:00:00+00:00,13.689918
1950-06-16 00:00:00+00:00,13.5482435
1950-06-17 00:00:00+00:00,13.388815
1950-06-18 00:00:00+00:00,13.210054
1950-06-19 00:00:00+00:00,13.03014
1950-06-20 00:00:00+00:00,12.897557
1950-06-21 00:00:00+00:00,12.786824
1950-06-22 00:00:00+00:00,12.658491
1950-06-23 00:00:00+00:00,12.88396
1950-06-24 00:00:00+00:00,13.189723
1950-06-25 00:00:00+00:00,12.959666
1950-06-26 00:00:00+00:00,12.784317
1950-06-27 00:00:00+00:00,12.621919
1950-06-28 00:00:00+00:00,12.461878
1950-06-29 00:00:00+00:00,12.304238
1950-06-30 00:00:00+00:00,12.158258
1950-07-01 00:00:00+00:00,12.018865
1950-07-02 00:00:00+00:00,11.891189
1950-07-03 00:00:00+00:00,11.779088
1950-07-04 00:00:00+00:00,11.783233
1950-07-05 00:00:00+00:00,12.003488
1950-07-06 00:00:00+00:00,12.316337
1950-07-07 00:00:00+00:00,13.036708
1950-07-08 00:00:00+00:00,13.056052
1950-07-09 00:00:00+00:00,13.090634
1950-07-10 00:00:00+00:00,13.107634
1950-07-11 00:00:00+00:00,12.816592
1950-07-12 00:00:00+00:00,12.538985
1950-07-13 00:00:00+00:00,12.290121
1950-07-14 00:00:00+00:00,12.079772
1950-07-15 00:00:00+00:00,11.896789
1950-07-16 00:00:00+00:00,11.737794
1950-07-17 00:00:00+00:00,11.603011
1950-07-18 00:00:00+00:00,11.484236
1950-07-19 00:00:00+00:00,11.379157
1950-07-20 00:00:00+00:00,11.284292
1950-07-21 00:00:00+00:00,11.2855015
1950-07-22 00:00:00+00:00,11.753574
1950-07-23 00:00:00+00:00,11.828637
1950-07-24 00:00:00+00:00,11.802062
1950-07-25 00:00:00+00:00,11.739149
1950-07-26 00:00:00+00:00,11.664228
1950-07-27 00:00:00+00:00,11.857283
1950-07-28 00:00:00+00:00,11.714897
1950-07-29 00:00:00+00:00,11.577668
1950-07-30 00:00:00+00:00,11.462359
1950-07-31 00:00:00+00:00,11.520084
1950-08-01 00:00:00+00:00,11.562595
1950-08-02 00:00:00+00:00,11.70519
1950-08-03 00:00:00+00:00,11.691888
1950-08-04 00:00:00+00:00,11.633402
1950-08-05 00:00:00+00:00,11.670536
